"Survey.LongName","Question.ID","Question.Text","Question.Type.Display.Name","Result.Type","Missingness.Codes","Response.Range","Response.Text"
"Daily Diary","Question 6002","Please think of your experiences throughout THE ENTIRE DAY","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Daily Diary","Question 6003","My day has been...","Multiple Slider",NA,NA,"100 - 100","Strongly agree"
"Daily Diary","Question 6004","Thinking about today, I feel like I...","Multiple Slider",NA,NA,"100 - 100","Strongly agree"
"Daily Diary","Question 6031","THINKING ABOUT TODAY, I feel like","Multiple Slider",NA,NA,"100 - 100","Strongly agree"
"Daily Diary","Question 6006","The following questions ask you to reflect on how you felt about your relationship with your family for THE ENTIRE DAY.","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Daily Diary","Question 6007","I felt...","Multiple Slider",NA,NA,"100 - 100","Strongly agree"
"Daily Diary","Question 6008","My family showed...","Multiple Slider",NA,NA,"100 - 100","Strongly agree"
"Daily Diary","Question 6009","Other people in recovery showed...","Multiple Slider",NA,NA,"100 - 100","Strongly agree"
"Daily Diary","Question 6010","When thinking about tomorrow...","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Daily Diary","Question 6011","I think tomorrow will be...","Multiple Slider",NA,NA,"100 - 100","VERY"
"Daily Diary","Question 6012","I'm worried about my ability to...","Multiple Slider",NA,NA,"100 - 100","VERY"
"Daily Diary","Question 6027","I ENJOYED work","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Diary","Question 6028","I felt COMPETENT at work","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Diary","Question 6029","I felt a sense of ACCOMPLISHMENT at work","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Diary","Question 6030","I felt CONNECTED to my work or with other people at work","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Diary","Question 6032","Describe what was challenging and / or good about your day and how you feel about it (about recovery or not):","Free Response","character",NA,"-1 - -1","%%"
"Daily Diary","Question 6039","Please write in other activity:","Free Response","character",NA,"-1 - -1","%%"
"RCC Practice Daily Diary Items","Question 6161","The following questions ask about your experiences DURING THE DAY","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"RCC Practice Daily Diary Items","Question 6162","Please check off any recovery support meetings you attended today?","Multiple Select","integer",NA,"1 - 11","I did not attend any recovery meetings today, ""All Recovery"", Dual Recovery Anonymous, Recovery Life, SMART Recovery, Gambler's Anonymous, AA / NA, MAT / MAR Meeting, Mindfulness-based recovery, Grief support, Other"
"RCC Practice Daily Diary Items","Question 6166","How FREQUENT have your alcohol or drug cravings been?","Slider","numeric",NA,"100 - 100","VERY FREQUENT"
"RCC Practice Daily Diary Items","Question 6167","How INTENSE have your alcohol or drug cravings been?","Slider","numeric",NA,"100 - 100","VERY INTENSE"
"RCC Practice Daily Diary Items","Question 6165","Today...","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"RCC Practice Daily Diary Items","Question 6163","Where did you attend the meeting?","Multiple Select","integer",NA,"1 - 6","RCC, Church / religious institution, Other government building, Clubhouse, Community center, Online"
"RCC Practice Daily Diary Items","Question 6164","How useful was the meeting for you?","Slider","numeric",NA,"100 - 100","VERY"
"RCC Practice Daily Diary Items","Question 6168","My day has been...","Multiple Slider",NA,NA,"100 - 100","Strongly agree"
"RCC Practice Daily Diary Items","Question 6169","THINKING ABOUT TODAY, I feel like...","Multiple Slider",NA,NA,"100 - 100","Strongly agree"
"RCC Practice Daily Diary Items","Question 6170","Other people in recovery showed...","Multiple Slider",NA,NA,"100 - 100","Strongly agree"
"RCC Practice Daily Diary Items","Question 6171","When thinking about tomorrow...","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"RCC Practice Daily Diary Items","Question 6172","I think tomorrow will be...","Multiple Slider",NA,NA,"100 - 100","VERY"
"RCC Practice Daily Diary Items","Question 6173","I'm worried about my ability to...","Multiple Slider",NA,NA,"100 - 100","VERY"
"RCC Practice Daily Diary Items","Question 6174","OPTIONAL DAILY REFLECTION: Describe what was challenging and/or good about your day and how you feel about it (about recovery or not): Up to around 100 words","Free Response","character",NA,"-1 - -1","%%"
