"Survey.LongName","Question.ID","Question.Text","Question.Type.Display.Name","Result.Type","Missingness.Codes","Response.Range","Response.Text"
"Daily Survey 1 ID 10","Question 131","So far today, how FREQUENT have your drug CRAVINGS been?","Slider","numeric",NA,"100 - 100","VERY FREQUENT"
"Daily Survey 1 ID 10","Question 132","So far today, how STRONG have your drug CRAVINGS been?","Slider","numeric",NA,"100 - 100","VERY STRONG"
"Daily Survey 1 ID 10","Question 133","So far today, to what extent have you felt:","Multiple Slider",NA,NA,"100 - 100","Very"
"Daily Survey 1 ID 10","Question 24","So far today:","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Daily Survey 1 ID 10","Question 134","How STRONG have any FOOD CRAVINGS been?","Slider","numeric",NA,"100 - 100","Very"
"Daily Survey 1 ID 10","Question 135","How difficult has it been to RESIST FOOD CRAVINGS?","Slider","numeric",NA,"100 - 100","Very"
"Daily Survey 1 ID 10",NA,NA,NA,NA,NA,NA,NA
"Daily Survey 1 ID 10","Question 43","The following questions ask about your sleep.","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Daily Survey 1 ID 10","Question 27","Did you sleep last night?","Multiple Choice","integer",NA,"1 - 2","Yes, No"
"Daily Survey 1 ID 10",NA,NA,NA,NA,NA,NA,NA
"Daily Survey 1 ID 10","Question 28","What time did you get into bed last night?","Time Picker","integer",NA,"-1 - -1","No Response"
"Daily Survey 1 ID 10","Question 29","What time did you get out of bed for the day this morning?","Time Picker","integer",NA,"-1 - -1","No Response"
"Daily Survey 1 ID 10","Question 30","How long do you think it took you to fall asleep last night?","Multiple Choice","integer",NA,"1 - 5","Just a few minutes, A half hour, An hour, An hour and a half, Two or more hours"
"Daily Survey 1 ID 10","Question 31","How many times did you wake up last night?","Reducing Slider","integer",NA,"15 - 15","15+ times"
"Daily Survey 1 ID 10","Question 31","How many times did you wake up last night?","Time Scale Slider","integer",NA,"15 - 15","15+ times"
"Daily Survey 1 ID 10","Question 31","How many times did you wake up last night?","Unit Scale Slider","integer",NA,"15 - 15","15+ times"
"Daily Survey 1 ID 10","Question 32","How long do you think you were awake during the night?","Reducing Slider","integer",NA,"480 - 480","8+ hours"
"Daily Survey 1 ID 10","Question 32","How long do you think you were awake during the night?","Time Scale Slider","integer",NA,"480 - 480","8+ hours"
"Daily Survey 1 ID 10","Question 32","How long do you think you were awake during the night?","Unit Scale Slider","integer",NA,"480 - 480","8+ hours"
"Daily Survey 1 ID 10","Question 116","How would you evaluate your sleep last night?","Slider","numeric",NA,"100 - 100","Extremely deep"
"Daily Survey 1 ID 10","Question 34","How long do you think you slept last night?","Reducing Slider","integer",NA,"480 - 480","8+ hours"
"Daily Survey 1 ID 10","Question 34","How long do you think you slept last night?","Time Scale Slider","integer",NA,"480 - 480","8+ hours"
"Daily Survey 1 ID 10","Question 34","How long do you think you slept last night?","Unit Scale Slider","integer",NA,"480 - 480","8+ hours"
"Daily Survey 1 ID 10","Question 35","Did you experience pain or discomfort during your night time sleep period?","Multiple Choice","integer",NA,"1 - 3","None, Only on movement or in certain positions, Yes (even without movement)"
"Daily Survey 1 ID 10","Question 36","Did the pain you experienced last night interfere with your ability to sleep?","Multiple Choice","integer",NA,"1 - 2","Yes, No"
"Daily Survey 1 ID 10","Question 37","End block","End Block",NA,NA,"-1 - -1","No Response"
"Daily Survey 1 ID 10","Question 38","End block","End Block",NA,NA,"-1 - -1","No Response"
"Daily Survey 1 ID 10","Question 39","Thank you once again for participating in our study.","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Daily Survey 2 ID 11","Question 44","Thank you for participating in our study. These questions ask about your experiences  since late afternoon.","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Daily Survey 2 ID 11","Question 45","This evening:","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Daily Survey 2 ID 11",NA,NA,NA,NA,NA,NA,NA
"Daily Survey 2 ID 11","Question 136","The idea of using drugs has intruded upon my thoughts.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 2 ID 11","Question 137","I have missed the feeling drugs can give me.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 2 ID 11","Question 138","I have thought about how satisfying drugs can be.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 2 ID 11","Question 139","I felt as if all the bad things in my life would disappear if I used drugs.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 2 ID 11","Question 140","I felt I would be less worried about my daily problems if I used drugs.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 2 ID 11","Question 141","I felt I would be less tense if I used drugs.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 2 ID 11","Question 142","If I had started using drugs, I WOULD HAVE been able to stop.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 2 ID 11","Question 143","If I were offered drugs, I WOULD HAVE used them.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 2 ID 11","Question 144","If I had used drugs, I could easily limit how much I used.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Daily Survey 2 ID 11","Question 145","This evening, to what extent have you felt:","Multiple Slider",NA,NA,"100 - 100","Very"
"Daily Survey 2 ID 11","Question 146","This evening, to what extent have you felt:","Multiple Slider",NA,NA,"100 - 100","Very"
"Daily Survey 2 ID 11","Question 147","This evening, to what extent have you felt:","Multiple Slider",NA,NA,"100 - 100","Very"
"Daily Survey 2 ID 11","Question 148","This evening, to what extent have you experienced WITHDRAWAL symptoms?","Slider","numeric",NA,"100 - 100","SEVERE SYMPTOMS"
"Daily Survey 2 ID 11","Question 149","This evening, how FREQUENT were your drug CRAVINGS?","Slider","numeric",NA,"100 - 100","VERY FREQUENT"
"Daily Survey 2 ID 11","Question 150","This evening, how STRONG were your STRONGEST DRUG CRAVINGS?","Slider","numeric",NA,"100 - 100","VERY STRONG"
"Daily Survey 2 ID 11","Question 151","This evening, to what extent have you felt:","Multiple Slider",NA,NA,"100 - 100","Very"
"Daily Survey 2 ID 11","Question 152","This evening:","Multiple Slider",NA,NA,"100 - 100","Very"
"Daily Survey 2 ID 11",NA,NA,NA,NA,NA,NA,NA
"Daily Survey 2 ID 11","Question 63","The following questions ask about your sleep.","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Daily Survey 2 ID 11","Question 64","Did you sleep last night?","Multiple Choice","integer",NA,"1 - 2","Yes, No"
"Daily Survey 2 ID 11",NA,NA,NA,NA,NA,NA,NA
"Daily Survey 2 ID 11","Question 65","What time did you get into bed last night?","Time Picker","integer",NA,"-1 - -1","No Response"
"Daily Survey 2 ID 11","Question 66","What time did you get out of bed for the day this morning?","Time Picker","integer",NA,"-1 - -1","No Response"
"Daily Survey 2 ID 11","Question 67","How long do you think it took you to fall asleep last night?","Multiple Choice","integer",NA,"1 - 5","Just a few minutes, A half hour, An hour, An hour and a half, Two or more hours"
"Daily Survey 2 ID 11","Question 68","How many times did you wake up last night?","Reducing Slider","integer",NA,"15 - 15","15+ times"
"Daily Survey 2 ID 11","Question 68","How many times did you wake up last night?","Time Scale Slider","integer",NA,"15 - 15","15+ times"
"Daily Survey 2 ID 11","Question 68","How many times did you wake up last night?","Unit Scale Slider","integer",NA,"15 - 15","15+ times"
"Daily Survey 2 ID 11","Question 69","How long do you think you were awake during the night?","Reducing Slider","integer",NA,"480 - 480","8+ hours"
"Daily Survey 2 ID 11","Question 69","How long do you think you were awake during the night?","Time Scale Slider","integer",NA,"480 - 480","8+ hours"
"Daily Survey 2 ID 11","Question 69","How long do you think you were awake during the night?","Unit Scale Slider","integer",NA,"480 - 480","8+ hours"
"Daily Survey 2 ID 11","Question 117","How would you evaluate your sleep last night?","Slider","numeric",NA,"100 - 100","Extremely deep"
"Daily Survey 2 ID 11","Question 71","How long do you think you slept last night?","Reducing Slider","integer",NA,"480 - 480","8+ hours"
"Daily Survey 2 ID 11","Question 71","How long do you think you slept last night?","Time Scale Slider","integer",NA,"480 - 480","8+ hours"
"Daily Survey 2 ID 11","Question 71","How long do you think you slept last night?","Unit Scale Slider","integer",NA,"480 - 480","8+ hours"
"Daily Survey 2 ID 11","Question 72","Did you experience pain or discomfort during your night time sleep period?","Multiple Choice","integer",NA,"1 - 3","None, Only on movement or in certain positions, Yes (even without movement)"
"Daily Survey 2 ID 11","Question 73","Did the pain you experienced last night interfere with your ability to sleep?","Multiple Choice","integer",NA,"1 - 2","Yes, No"
"Daily Survey 2 ID 11","Question 74","End block","End Block",NA,NA,"-1 - -1","No Response"
"Daily Survey 2 ID 11","Question 75","End block","End Block",NA,NA,"-1 - -1","No Response"
"Daily Survey 2 ID 11","Question 76","These questions ask about your entire day.","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Daily Survey 2 ID 11","Question 153","Indicate the average intensity of pain (if any) you experienced today.","Slider","numeric",NA,"100 - 100","Worst pain"
"Daily Survey 2 ID 11","Question 154","Indicate the average amount of discomfort (if any) you experienced today.","Slider","numeric",NA,"100 - 100","Worst discomfort"
"Daily Survey 2 ID 11","Question 79","Did the pain or discomfort you experienced today interfere with your ability to sleep?","Multiple Choice","integer",NA,"1 - 2","Yes, No"
"Daily Survey 2 ID 11","Question 80","Did the pain or discomfort you experienced today interfere with your ability to complete normal daily tasks?","Multiple Choice","integer",NA,"1 - 2","Yes, No"
"Daily Survey 2 ID 11","Question 100","Did the pain or discomfort you experienced today interfere with your ability to focus <u>mentally</u> on tasks?","Multiple Choice","integer",NA,"1 - 2","Yes, No"
"Daily Survey 2 ID 11","Question 82","Did you eat other than at a meal time (e.g. snacks) since the last survey?","Multiple Choice","integer",NA,"1 - 2","Yes, No"
"Daily Survey 2 ID 11",NA,NA,NA,NA,NA,NA,NA
"Daily Survey 2 ID 11","Question 155","How much did you eat?","Slider","numeric",NA,"100 - 100","More than a meal"
"Daily Survey 2 ID 11","Question 156","To what extent did you feel FULL after eating?","Slider","numeric",NA,"100 - 100","Very"
"Daily Survey 2 ID 11","Question 85","How many cigarettes did you smoke from waking up today till now?","Reducing Slider","integer",NA,"30 - 30","30+ cigarettes"
"Daily Survey 2 ID 11","Question 85","How many cigarettes did you smoke from waking up today till now?","Time Scale Slider","integer",NA,"30 - 30","30+ cigarettes"
"Daily Survey 2 ID 11","Question 85","How many cigarettes did you smoke from waking up today till now?","Unit Scale Slider","integer",NA,"30 - 30","30+ cigarettes"
"Daily Survey 2 ID 11","Question 86","Thank you once again for participating in our study.","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Intake Survey 2 ID 31","Question 1517","Choose a time near the middle of your day that you are likely to have time to answer a survey","Time Picker","integer",NA,"-1 - -1","No Response"
"Intake Survey 2 ID 31","Question 1518","Choose a time near the end of your day that you are likely to have time to answer a survey","Time Picker","integer",NA,"-1 - -1","No Response"
"Intake Survey ID 9","Question 87","What time do you usually get up from sleeping?","Time Picker","integer",NA,"510 - 510","No Response"
"Intake Survey ID 9","Question 88","Do you get home from work at a regular time?","Multiple Choice","integer",NA,"1 - 3","Yes, No, I am not currently working."
"Intake Survey ID 9",NA,NA,NA,NA,NA,NA,NA
"Intake Survey ID 9","Question 101","What time do you normally get home from work?","Time Picker","integer",NA,"-1 - 1050","No Response, No Response"
"Intake Survey ID 9","Question 102","What time do you usually go to bed for the day?","Time Picker","integer",NA,"-1 - 1320","No Response, No Response"
"Intake Survey ID 9",NA,NA,NA,NA,NA,NA,NA
"Intake Survey ID 9","Question 91","What time do you usually go to bed for the day?","Time Picker","integer",NA,"-1 - 1320","No Response, No Response"
"Self","Question 95","The following question will allow you to proceed to the next burst in the study. If not eligible to proceed at this time, you will not see the authorization question and can check back later.","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Self","Question 96","Congratulations! You are eligible to proceed with the study. Choose 'Yes' if you wish to proceed, or 'No' if you need more time. The next burst will begin immediately if you choose 'Yes'.","Multiple Choice","integer",NA,"-1 - 2","No Response, Yes, No"
"Self","Question 97","Thank you once again for participating in our study.","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
