"Survey.LongName","Group","Survey.QID","Question.ID","Survey","Item.ID","Item.Type","Parent","NA.","Question.Text","Question.Type","Conditional.Child.Item.ID","Conditional.Fail.Item.ID","Conditional.Threshold","Conditional.Type","Conditional.Master.Item.ID","QID","Question.Type.Display.Name","Result.Type","Multiple.Question.Type"
"Daily Diary",NA,47043,"Question 8106","Daily Diary","Item 7656","Question","Item 7657",NA,"TODAY, have you felt... <br /><br /> (Scroll down for all responses)",17,NA,NA,NA,NA,NA,"Q_8106","Multiple Slider",NA,TRUE
"Daily Diary",NA,47044,"Question 8107","Daily Diary","Item 7658","Question","Item 7635",NA,"Please think of your experiences throughout THE ENTIRE DAY",6,NA,NA,NA,NA,NA,"Q_8107","Informational Fullscreen",NA,FALSE
"Daily Diary",NA,47045,"Question 8108","Daily Diary","Item 7659","Question","Item 7665",NA,"My day has been... <br /><br /> (Scroll down for all responses)",17,NA,NA,NA,NA,NA,"Q_8108","Multiple Slider",NA,TRUE
"Daily Diary",NA,47046,"Question 8109","Daily Diary","Item 7660","Question","Item 7665",NA,"THINKING ABOUT TODAY, I feel like... <br /><br /> (Scroll down for all responses)",17,NA,NA,NA,NA,NA,"Q_8109","Multiple Slider",NA,TRUE
"Daily Diary",NA,47047,"Question 8110","Daily Diary","Item 7661","Question","Item 7665",NA,"When thinking about tomorrow, I think tomorrow will be... <br /><br /> (Scroll down for all responses)",17,NA,NA,NA,NA,NA,"Q_8110","Multiple Slider",NA,TRUE
"Daily Diary",NA,47048,"Question 8111","Daily Diary","Item 7662","Question","Item 7665",NA,"I’m worried about my ability to...",6,NA,NA,NA,NA,NA,"Q_8111","Informational Fullscreen",NA,FALSE
"Daily Diary",NA,47049,"Question 8112","Daily Diary","Item 7663","Question","Item 7665",NA,"Maintain MY RECOVERY tomorrow",3,NA,NA,NA,NA,NA,"Q_8112","Slider","numeric",FALSE
"Daily Diary",NA,47050,"Question 8113","Daily Diary","Item 7664","Question","Item 7665",NA,"Maintain MY GENERAL WELLBEING tomorrow",3,NA,NA,NA,NA,NA,"Q_8113","Slider","numeric",FALSE
"Daily Diary",NA,47051,"Question 8183","Daily Diary","Item 7690","Question","Item 7675",NA,"Did you interact in-person, or by phone, text, or social media with your child(ren) today?",0,7673,7674,2,1,NA,"Q_8183","Multiple Choice","integer",FALSE
"Daily Diary",NA,47052,"Question 8648","Daily Diary","Item 7667","Question","Item 7673",NA,"Please ""check off"" all the ways in which you interacted with your kid or kids today: <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8648","Multiple Select","integer",TRUE
"Daily Diary",NA,47053,"Question 8182","Daily Diary","Item 7668","Question","Item 7673",NA,"How much did you interact with your child or children today?",2,NA,NA,NA,NA,NA,"Q_8182","Reducing Slider","integer",FALSE
"Daily Diary",NA,47053,"Question 8182","Daily Diary","Item 7668","Question","Item 7673",NA,"How much did you interact with your child or children today?",2,NA,NA,NA,NA,NA,"Q_8182","Time Scale Slider","integer",FALSE
"Daily Diary",NA,47053,"Question 8182","Daily Diary","Item 7668","Question","Item 7673",NA,"How much did you interact with your child or children today?",2,NA,NA,NA,NA,NA,"Q_8182","Unit Scale Slider","integer",FALSE
"Daily Diary",NA,47054,"Question 8117","Daily Diary","Item 7669","Question","Item 7673",NA,"Thinking of all your interactions with your child(ren) today --OVERALL how POSITIVE were they?",3,NA,NA,NA,NA,NA,"Q_8117","Slider","numeric",FALSE
"Daily Diary",NA,47055,"Question 8118","Daily Diary","Item 7670","Question","Item 7673",NA,"Thinking of all your interactions with your child(ren) today --OVERALL how NEGATIVE were they?",3,NA,NA,NA,NA,NA,"Q_8118","Slider","numeric",FALSE
"Daily Diary",NA,47056,"Question 8119","Daily Diary","Item 7671","Question","Item 7673",NA,"Thinking of all your interactions with your child(ren) today --OVERALL how FULFILLING were they?",3,NA,NA,NA,NA,NA,"Q_8119","Slider","numeric",FALSE
"Daily Diary",NA,47057,"Question 8120","Daily Diary","Item 7672","Question","Item 7673",NA,"Thinking of all your interactions with your child(ren) today --OVERALL how FRUSTRATING were they?",3,NA,NA,NA,NA,NA,"Q_8120","Slider","numeric",FALSE
"Daily Diary",NA,47058,"Question 8121","Daily Diary","Item 7674","Question","Item 7675",NA,"End Block",21,NA,NA,NA,NA,7690,"Q_8121","End Block",NA,FALSE
"Daily Diary",NA,47059,"Question 8122","Daily Diary","Item 7676","Question","Item 7635",NA,"OPTIONAL DAILY REFLECTION: Describe what was challenging and/or good about your day and how you feel about it (about recovery or not):  Up to around 100 words",11,NA,NA,NA,NA,NA,"Q_8122","Free Response","character",FALSE
"Daily Diary",NA,NA,NA,"Daily Diary","Item 7677","Block","Daily Diary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daily Diary",NA,NA,NA,"Daily Diary","Item 7615","Block","Item 7677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daily Diary",NA,NA,NA,"Daily Diary","Item 7636","Block","Item 7677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daily Diary",NA,NA,NA,"Daily Diary","Item 7635","Block","Item 7677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daily Diary",NA,NA,NA,"Daily Diary","Item 7613","Block","Item 7615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daily Diary",NA,NA,NA,"Daily Diary","Item 7637","Block","Item 7636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daily Diary",NA,NA,NA,"Daily Diary","Item 7630","Block","Item 7635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daily Diary",NA,NA,NA,"Daily Diary","Item 7647","Block","Item 7635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daily Diary",NA,NA,NA,"Daily Diary","Item 7648","Block","Item 7635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daily Diary",NA,NA,NA,"Daily Diary","Item 7657","Block","Item 7635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daily Diary",NA,NA,NA,"Daily Diary","Item 7665","Block","Item 7635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daily Diary",NA,NA,NA,"Daily Diary","Item 7675","Block","Item 7635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daily Diary",NA,NA,NA,"Daily Diary","Item 7673","Block","Item 7675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daily Diary",NA,3651,"Question 5976","Daily Diary","Item 5734","Question","Daily Diary",NA,"What did you do today?",7,5792,5735,12,1,NA,"Q_5976","Multiple Select","integer",TRUE
"Daily Diary",NA,3653,"Question 5978","Daily Diary","Item 5736","Question","Daily Diary",NA,"Where did you spend time today?",7,NA,NA,NA,NA,NA,"Q_5978","Multiple Select","integer",TRUE
"Daily Diary",NA,3654,"Question 5979","Daily Diary","Item 5737","Question","Item 5745",NA,"How much time did you spend at the RCC today?",0,NA,NA,NA,NA,NA,"Q_5979","Multiple Choice","integer",FALSE
"Daily Diary",NA,3655,"Question 6022","Daily Diary","Item 5738","Question","Item 5745",NA,"Select all the activities taken part in or services used at the RCC today. Which of the following activities / services did you take part in at your RCC today? <u>Please check all that apply:</u>",7,5739,5740,10,1,NA,"Q_6022","Multiple Select","integer",TRUE
"Daily Diary",NA,3656,"Question 5981","Daily Diary","Item 5739","Question","Item 5745",NA,"Please write in other activity:",11,NA,NA,NA,NA,5738,"Q_5981","Free Response","character",FALSE
"Daily Diary",NA,3657,"Question 5982","Daily Diary","Item 5740","Question","Item 5745",NA,"When thinking about your time at the RCC today...",17,NA,NA,NA,NA,5738,"Q_5982","Multiple Slider",NA,TRUE
"Daily Diary",NA,3658,"Question 6023","Daily Diary","Item 5741","Question","Item 5745",NA,"When thinking about your time at the RCC today...",17,NA,NA,NA,NA,NA,"Q_6023","Multiple Slider",NA,TRUE
"Daily Diary",NA,3659,"Question 6074","Daily Diary","Item 5742","Question","Item 5746",NA,"While NOT AT YOUR RCC, which of the following activities /services did you take part in?",7,5743,5798,10,1,NA,"Q_6074","Multiple Select","integer",TRUE
"Daily Diary",NA,36510,"Question 5985","Daily Diary","Item 5743","Question","Item 5746",NA,"Please write in other activity:",11,NA,NA,NA,NA,5742,"Q_5985","Free Response","character",FALSE
"Daily Diary",NA,36512,"Question 5987","Daily Diary","Item 5748","Question","Daily Diary",NA,"Please check off any recovery support meetings you attended today?",7,5756,5757,2,3,NA,"Q_5987","Multiple Select","integer",TRUE
"Daily Diary",NA,36513,"Question 6024","Daily Diary","Item 5784","Question","Item 5756",NA,"Where did you attend the meeting (or meetings)?",7,5785,5750,7,1,NA,"Q_6024","Multiple Select","integer",TRUE
"Daily Diary",NA,36514,"Question 6025","Daily Diary","Item 5785","Question","Item 5756",NA,"Please write in other location:",11,NA,NA,NA,NA,5784,"Q_6025","Free Response","character",FALSE
"Daily Diary",NA,36515,"Question 6076","Daily Diary","Item 5750","Question","Item 5756",NA,"How useful was the meeting(s) for you?",3,NA,NA,NA,NA,5784,"Q_6076","Slider","numeric",FALSE
"Daily Diary",NA,36516,"Question 6077","Daily Diary","Item 5751","Question","Item 5756",NA,"How supportive did you find the meeting(s)?",3,NA,NA,NA,NA,NA,"Q_6077","Slider","numeric",FALSE
"Daily Diary",NA,36517,"Question 6078","Daily Diary","Item 5752","Question","Item 5756",NA,"How connected did you feel to others at the meeting(s)?",3,NA,NA,NA,NA,NA,"Q_6078","Slider","numeric",FALSE
"Daily Diary",NA,36518,"Question 6079","Daily Diary","Item 5753","Question","Item 5756",NA,"How engaged were you during the meeting(s)?",3,NA,NA,NA,NA,NA,"Q_6079","Slider","numeric",FALSE
"Daily Diary",NA,36519,"Question 6080","Daily Diary","Item 5754","Question","Item 5756",NA,"How much did you talk during the meeting(s)?",3,NA,NA,NA,NA,NA,"Q_6080","Slider","numeric",FALSE
"Daily Diary",NA,36520,"Question 6081","Daily Diary","Item 5755","Question","Item 5756",NA,"How comfortable were you during the meeting(s)?",3,NA,NA,NA,NA,NA,"Q_6081","Slider","numeric",FALSE
"Daily Diary",NA,36523,"Question 6040","Daily Diary","Item 5794","Question","Item 5763",NA,"Please specify:",11,NA,NA,NA,NA,5762,"Q_6040","Free Response","character",FALSE
"Daily Diary",NA,36525,"Question 5997","Daily Diary","Item 5764","Question","Daily Diary",NA,"The following questions ask about how you have felt this evening",6,NA,NA,NA,NA,NA,"Q_5997","Informational Fullscreen",NA,FALSE
"Daily Diary",NA,36526,"Question 5998","Daily Diary","Item 5765","Question","Daily Diary",NA,"THIS EVENING...",6,NA,NA,NA,NA,NA,"Q_5998","Informational Fullscreen",NA,FALSE
"Daily Diary",NA,36529,"Question 6001","Daily Diary","Item 5769","Question","Daily Diary",NA,"THIS EVENING, have you felt...",17,NA,NA,NA,NA,NA,"Q_6001","Multiple Slider",NA,TRUE
"Daily Diary",NA,36532,"Question 6004","Daily Diary","Item 5772","Question","Daily Diary",NA,"Thinking about today, I feel like I...",17,NA,NA,NA,NA,NA,"Q_6004","Multiple Slider",NA,TRUE
"Daily Diary",NA,36533,"Question 6031","Daily Diary","Item 5773","Question","Daily Diary",NA,"THINKING ABOUT TODAY, I feel like",17,NA,NA,NA,NA,NA,"Q_6031","Multiple Slider",NA,TRUE
"Daily Diary",NA,36534,"Question 6006","Daily Diary","Item 5774","Question","Daily Diary",NA,"The following questions ask you to reflect on how you felt about your relationship with your family for THE ENTIRE DAY.",6,NA,NA,NA,NA,NA,"Q_6006","Informational Fullscreen",NA,FALSE
"Daily Diary",NA,36535,"Question 6007","Daily Diary","Item 5775","Question","Daily Diary",NA,"I felt...",17,NA,NA,NA,NA,NA,"Q_6007","Multiple Slider",NA,TRUE
"Daily Diary",NA,36536,"Question 6008","Daily Diary","Item 5776","Question","Daily Diary",NA,"My family showed...",17,NA,NA,NA,NA,NA,"Q_6008","Multiple Slider",NA,TRUE
"Daily Diary",NA,36537,"Question 6009","Daily Diary","Item 5777","Question","Daily Diary",NA,"Other people in recovery showed...",17,NA,NA,NA,NA,NA,"Q_6009","Multiple Slider",NA,TRUE
"Daily Diary",NA,36538,"Question 6010","Daily Diary","Item 5778","Question","Daily Diary",NA,"When thinking about tomorrow...",6,NA,NA,NA,NA,NA,"Q_6010","Informational Fullscreen",NA,FALSE
"Daily Diary",NA,36539,"Question 6011","Daily Diary","Item 5779","Question","Daily Diary",NA,"I think tomorrow will be...",17,NA,NA,NA,NA,NA,"Q_6011","Multiple Slider",NA,TRUE
"Daily Diary",NA,36540,"Question 6012","Daily Diary","Item 5780","Question","Daily Diary",NA,"I'm worried about my ability to...",17,NA,NA,NA,NA,NA,"Q_6012","Multiple Slider",NA,TRUE
"Daily Diary",NA,36545,"Question 6032","Daily Diary","Item 5787","Question","Daily Diary",NA,"Describe what was challenging and / or good about your day and how you feel about it (about recovery or not):",11,NA,NA,NA,NA,NA,"Q_6032","Free Response","character",FALSE
"Daily Diary",NA,36546,"Question 6039","Daily Diary","Item 5792","Question","Daily Diary",NA,"Please write in other activity:",11,NA,NA,NA,NA,5734,"Q_6039","Free Response","character",FALSE
