"Survey.LongName","Group","Survey.QID","Question.ID","Survey","Item.ID","Item.Type","Parent","NA","Question.Text","Question.Type","Conditional.Child.Item.ID","Conditional.Fail.Item.ID","Conditional.Threshold","Conditional.Type","Conditional.Master.Item.ID","QID","Question.Type.Display.Name","Result.Type","Multiple.Question.Type"
"Daily Diary","","47010","Question 8073","Daily Diary ID 470","Item 7612","Question","Item 7615",NA,"How helpful was being at the Recovery Center to your recovery?",3,NA,NA,NA,NA,NA,"Q_8073","Slider","numeric",FALSE
"Daily Diary","","47011","Question 8074","Daily Diary ID 470","Item 7614","Question","Item 7615",NA,"How helpful was being at the Recovery Center to your overall well-being?",3,NA,NA,NA,NA,NA,"Q_8074","Slider","numeric",FALSE
"Daily Diary","","47012","Question 8075","Daily Diary ID 470","Item 7616","Question","Item 7677",NA,"Do you reside in a recovery house?",0,"7636","7635","1","1","7609","Q_8075","Multiple Choice","integer",FALSE
"Daily Diary","","47013","Question 8076","Daily Diary ID 470","Item 7617","Question","Item 7636",NA,"How much time did you spend at a recovery house today (NOT counting sleeping time)?<br /><br />(Scroll down for all responses)",0,"7637","7638","2","3",NA,"Q_8076","Multiple Choice","integer",FALSE
"Daily Diary","","47014","Question 8077","Daily Diary ID 470","Item 7618","Question","Item 7637",NA,"While AT YOUR RECOVERY HOUSE, which of the following activities/services did you take part in? <u>Please check all that apply</u> <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8077","Multiple Select","integer",TRUE
"Daily Diary","","47015","Question 8078","Daily Diary ID 470","Item 7619","Question","Item 7637",NA,"Please specify activity:",11,NA,NA,NA,NA,NA,"Q_8078","Free Response","character",FALSE
"Daily Diary","","47016","Question 8079","Daily Diary ID 470","Item 7620","Question","Item 7637",NA,"Please check off any recovery support meetings you attended today? Select all that apply <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8079","Multiple Select","integer",TRUE
"Daily Diary","","47017","Question 8080","Daily Diary ID 470","Item 7622","Question","Item 7637",NA,"When thinking about your time at the recovery house today...",6,NA,NA,NA,NA,NA,"Q_8080","Informational Fullscreen",NA,FALSE
"Daily Diary","","47018","Question 8081","Daily Diary ID 470","Item 7623","Question","Item 7637",NA,"How helpful was being at the recovery house to your recovery?",3,NA,NA,NA,NA,NA,"Q_8081","Slider","numeric",FALSE
"Daily Diary","","47019","Question 8082","Daily Diary ID 470","Item 7624","Question","Item 7637",NA,"How helpful was being at the recovery house to your overall well-being?",3,NA,NA,NA,NA,NA,"Q_8082","Slider","numeric",FALSE
"Daily Diary","","47020","Question 8083","Daily Diary ID 470","Item 7638","Question","Item 7636",NA,"End Block",21,NA,NA,NA,NA,"7617","Q_8083","End Block",NA,FALSE
"Daily Diary","","47021","Question 8084","Daily Diary ID 470","Item 7625","Question","Item 7635",NA,"While NOT AT A RCC OR RECOVERY HOUSE, which of the following activities/services did you take part in?  <u>Please check all that apply</u> <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8084","Multiple Select","integer",TRUE
"Daily Diary","","47022","Question 8085","Daily Diary ID 470","Item 7626","Question","Item 7635",NA,"Please specify activity:",11,NA,NA,NA,NA,NA,"Q_8085","Free Response","character",FALSE
"Daily Diary","","47023","Question 8180","Daily Diary ID 470","Item 7628","Question","Item 7630",NA,"Please check off any recovery support meetings you attended today while NOT AT A RCC OR RECOVERY HOUSE? Select all that apply. <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8180","Multiple Select","integer",TRUE
"Daily Diary","","47024","Question 8087","Daily Diary ID 470","Item 7629","Question","Item 7630",NA,"Where did you attend the meeting or meetings? Select all that apply <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8087","Multiple Select","integer",TRUE
"Daily Diary","","47025","Question 8088","Daily Diary ID 470","Item 7631","Question","Item 7635",NA,"When thinking about your full day...",6,NA,NA,NA,NA,NA,"Q_8088","Informational Fullscreen",NA,FALSE
"Daily Diary","","47026","Question 8089","Daily Diary ID 470","Item 7632","Question","Item 7635",NA,"How helpful were your day’s experiences to your recovery?",3,NA,NA,NA,NA,NA,"Q_8089","Slider","numeric",FALSE
"Daily Diary","","47027","Question 8090","Daily Diary ID 470","Item 7633","Question","Item 7635",NA,"How helpful were your day’s experiences to your overall well-being?",3,NA,NA,NA,NA,NA,"Q_8090","Slider","numeric",FALSE
"Daily Diary","","47028","Question 8181","Daily Diary ID 470","Item 7639","Question","Item 7635",NA,"If you did not go to a recovery support meeting today, what was the reason? Check off all that apply. <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8181","Multiple Select","integer",TRUE
"Daily Diary","","47029","Question 8092","Daily Diary ID 470","Item 7640","Question","Item 7635",NA,"How difficult was it to get where you needed to go today?",0,NA,NA,NA,NA,NA,"Q_8092","Multiple Choice","integer",FALSE
"Daily Diary","","47030","Question 8093","Daily Diary ID 470","Item 7641","Question","Item 7635",NA,"Did you work for pay today?",0,NA,NA,NA,NA,NA,"Q_8093","Multiple Choice","integer",FALSE
"Daily Diary","","47031","Question 8094","Daily Diary ID 470","Item 7642","Question","Item 7647",NA,"I ENJOYED work",3,NA,NA,NA,NA,NA,"Q_8094","Slider","numeric",FALSE
"Daily Diary","","47032","Question 8095","Daily Diary ID 470","Item 7643","Question","Item 7647",NA,"I felt COMPETENT at work",3,NA,NA,NA,NA,NA,"Q_8095","Slider","numeric",FALSE
"Daily Diary","","47033","Question 8096","Daily Diary ID 470","Item 7644","Question","Item 7647",NA,"I felt a sense of ACCOMPLISHMENT at work",3,NA,NA,NA,NA,NA,"Q_8096","Slider","numeric",FALSE
"Daily Diary","","47034","Question 8097","Daily Diary ID 470","Item 7645","Question","Item 7647",NA,"I felt CONNECTED to my work or with other people at work",3,NA,NA,NA,NA,NA,"Q_8097","Slider","numeric",FALSE
"Daily Diary","","47035","Question 8098","Daily Diary ID 470","Item 7646","Question","Item 7648",NA,"Why did you not go to work?",0,NA,NA,NA,NA,NA,"Q_8098","Multiple Choice","integer",FALSE
"Daily Diary","","47036","Question 8099","Daily Diary ID 470","Item 7649","Question","Item 7635",NA,"The following questions ask about how you have felt today <br /> Click below to continue",6,NA,NA,NA,NA,NA,"Q_8099","Informational Fullscreen",NA,FALSE
"Daily Diary","","47037","Question 8100","Daily Diary ID 470","Item 7652","Question","Item 7657",NA,"Today...",6,NA,NA,NA,NA,NA,"Q_8100","Informational Fullscreen",NA,FALSE
"Daily Diary","","47038","Question 8101","Daily Diary ID 470","Item 7650","Question","Item 7657",NA,"How FREQUENT have your alcohol or drug cravings been?",3,NA,NA,NA,NA,NA,"Q_8101","Slider","numeric",FALSE
"Daily Diary","","47039","Question 8102","Daily Diary ID 470","Item 7651","Question","Item 7657",NA,"How INTENSE have your alcohol or drug cravings been?",3,NA,NA,NA,NA,NA,"Q_8102","Slider","numeric",FALSE
"Daily Diary","","47040","Question 8103","Daily Diary ID 470","Item 7653","Question","Item 7657",NA,"TODAY, have you felt any...",6,NA,NA,NA,NA,NA,"Q_8103","Informational Fullscreen",NA,FALSE
"Daily Diary","","47041","Question 8104","Daily Diary ID 470","Item 7654","Question","Item 7657",NA,"PHYSICAL DISCOMFORT?",3,NA,NA,NA,NA,NA,"Q_8104","Slider","numeric",FALSE
"Daily Diary","","47042","Question 8105","Daily Diary ID 470","Item 7655","Question","Item 7657",NA,"PHYSICAL PAIN?",3,NA,NA,NA,NA,NA,"Q_8105","Slider","numeric",FALSE
"Daily Diary","","47043","Question 8106","Daily Diary ID 470","Item 7656","Question","Item 7657",NA,"TODAY, have you felt... <br /><br /> (Scroll down for all responses)",17,NA,NA,NA,NA,NA,"Q_8106","Multiple Slider",NA,TRUE
"Daily Diary","","47044","Question 8107","Daily Diary ID 470","Item 7658","Question","Item 7635",NA,"Please think of your experiences throughout THE ENTIRE DAY",6,NA,NA,NA,NA,NA,"Q_8107","Informational Fullscreen",NA,FALSE
"Daily Diary","","47045","Question 8108","Daily Diary ID 470","Item 7659","Question","Item 7665",NA,"My day has been... <br /><br /> (Scroll down for all responses)",17,NA,NA,NA,NA,NA,"Q_8108","Multiple Slider",NA,TRUE
"Daily Diary","","47046","Question 8109","Daily Diary ID 470","Item 7660","Question","Item 7665",NA,"THINKING ABOUT TODAY, I feel like... <br /><br /> (Scroll down for all responses)",17,NA,NA,NA,NA,NA,"Q_8109","Multiple Slider",NA,TRUE
"Daily Diary","","47047","Question 8110","Daily Diary ID 470","Item 7661","Question","Item 7665",NA,"When thinking about tomorrow, I think tomorrow will be... <br /><br /> (Scroll down for all responses)",17,NA,NA,NA,NA,NA,"Q_8110","Multiple Slider",NA,TRUE
"Daily Diary","","47048","Question 8111","Daily Diary ID 470","Item 7662","Question","Item 7665",NA,"I’m worried about my ability to...",6,NA,NA,NA,NA,NA,"Q_8111","Informational Fullscreen",NA,FALSE
"Daily Diary","","47049","Question 8112","Daily Diary ID 470","Item 7663","Question","Item 7665",NA,"Maintain MY RECOVERY tomorrow",3,NA,NA,NA,NA,NA,"Q_8112","Slider","numeric",FALSE
"Daily Diary","","47050","Question 8113","Daily Diary ID 470","Item 7664","Question","Item 7665",NA,"Maintain MY GENERAL WELLBEING tomorrow",3,NA,NA,NA,NA,NA,"Q_8113","Slider","numeric",FALSE
"Daily Diary","","47051","Question 8183","Daily Diary ID 470","Item 7690","Question","Item 7675",NA,"Did you interact in-person, or by phone, text, or social media with your child(ren) today?",0,"7673","7674","2","1",NA,"Q_8183","Multiple Choice","integer",FALSE
"Daily Diary","","47052","Question 8648","Daily Diary ID 470","Item 7667","Question","Item 7673",NA,"Please ""check off"" all the ways in which you interacted with your kid or kids today: <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,NA,"Q_8648","Multiple Select","integer",TRUE
"Daily Diary","","47053","Question 8182","Daily Diary ID 470","Item 7668","Question","Item 7673",NA,"How much did you interact with your child or children today?",2,NA,NA,NA,NA,NA,"Q_8182","Reducing Slider","integer",FALSE
"Daily Diary","","47053","Question 8182","Daily Diary ID 470","Item 7668","Question","Item 7673",NA,"How much did you interact with your child or children today?",2,NA,NA,NA,NA,NA,"Q_8182","Time Scale Slider","integer",FALSE
"Daily Diary","","47053","Question 8182","Daily Diary ID 470","Item 7668","Question","Item 7673",NA,"How much did you interact with your child or children today?",2,NA,NA,NA,NA,NA,"Q_8182","Unit Scale Slider","integer",FALSE
"Daily Diary","","47054","Question 8117","Daily Diary ID 470","Item 7669","Question","Item 7673",NA,"Thinking of all your interactions with your child(ren) today --OVERALL how POSITIVE were they?",3,NA,NA,NA,NA,NA,"Q_8117","Slider","numeric",FALSE
"Daily Diary","","47055","Question 8118","Daily Diary ID 470","Item 7670","Question","Item 7673",NA,"Thinking of all your interactions with your child(ren) today --OVERALL how NEGATIVE were they?",3,NA,NA,NA,NA,NA,"Q_8118","Slider","numeric",FALSE
"Daily Diary","","47056","Question 8119","Daily Diary ID 470","Item 7671","Question","Item 7673",NA,"Thinking of all your interactions with your child(ren) today --OVERALL how FULFILLING were they?",3,NA,NA,NA,NA,NA,"Q_8119","Slider","numeric",FALSE
"Daily Diary","","47057","Question 8120","Daily Diary ID 470","Item 7672","Question","Item 7673",NA,"Thinking of all your interactions with your child(ren) today --OVERALL how FRUSTRATING were they?",3,NA,NA,NA,NA,NA,"Q_8120","Slider","numeric",FALSE
"Daily Diary","","47058","Question 8121","Daily Diary ID 470","Item 7674","Question","Item 7675",NA,"End Block",21,NA,NA,NA,NA,"7690","Q_8121","End Block",NA,FALSE
"Daily Diary","","47059","Question 8122","Daily Diary ID 470","Item 7676","Question","Item 7635",NA,"OPTIONAL DAILY REFLECTION: Describe what was challenging and/or good about your day and how you feel about it (about recovery or not):  Up to around 100 words",11,NA,NA,NA,NA,NA,"Q_8122","Free Response","character",FALSE
"RG PRACTICE DAILY DIARY ITEMS","","4711","Question 8652","RG PRACTICE DAILY DIARY ITEMS ID 471","Item 7680","Question","RG PRACTICE DAILY DIARY ITEMS ID 471",NA,"Do you have any biological, adoptive, or step children who are minors (less than 18 years old)?",0,NA,NA,NA,NA,NA,"Q_8652","Multiple Choice","integer",FALSE
"RG PRACTICE DAILY DIARY ITEMS","","4712","Question 8185","RG PRACTICE DAILY DIARY ITEMS ID 471","Item 7681","Question","RG PRACTICE DAILY DIARY ITEMS ID 471",NA,"The following questions ask about your experiences and feelings DURING THE DAY",6,NA,NA,NA,NA,NA,"Q_8185","Informational Fullscreen",NA,FALSE
"RG PRACTICE DAILY DIARY ITEMS","","4713","Question 8186","RG PRACTICE DAILY DIARY ITEMS ID 471","Item 7682","Question","RG PRACTICE DAILY DIARY ITEMS ID 471",NA,"Did you receive support or help today that? SELECT ALL THAT APPLY: <br /> (Scroll down for all responses)",7,"7683","7684","6","2",NA,"Q_8186","Multiple Select","integer",TRUE
"RG PRACTICE DAILY DIARY ITEMS","","4714","Question 8187","RG PRACTICE DAILY DIARY ITEMS ID 471","Item 7683","Question","RG PRACTICE DAILY DIARY ITEMS ID 471",NA,"Whom did you receive this practical support from today? <b>SELECT ALL THAT APPLY</b> (Scroll down for all responses)",7,NA,NA,NA,NA,"7682","Q_8187","Multiple Select","integer",TRUE
"RG PRACTICE DAILY DIARY ITEMS","","4715","Question 8188","RG PRACTICE DAILY DIARY ITEMS ID 471","Item 7684","Question","RG PRACTICE DAILY DIARY ITEMS ID 471",NA,"Did you receive emotional or interpersonal assistance, support, or help today in any of the following areas? SELECT ALL THAT APPLY: <br /> (Scroll down for all responses)",7,NA,NA,NA,NA,"7682","Q_8188","Multiple Select","integer",TRUE
"RG PRACTICE DAILY DIARY ITEMS","","4716","Question 8189","RG PRACTICE DAILY DIARY ITEMS ID 471","Item 7685","Question","RG PRACTICE DAILY DIARY ITEMS ID 471",NA,"How difficult was it to get where you needed to go today?",0,NA,NA,NA,NA,NA,"Q_8189","Multiple Choice","integer",FALSE
"RG PRACTICE DAILY DIARY ITEMS","","4717","Question 8190","RG PRACTICE DAILY DIARY ITEMS ID 471","Item 7686","Question","RG PRACTICE DAILY DIARY ITEMS ID 471",NA,"The following questions ask about how you have felt today <br /> Click below to continue",6,NA,NA,NA,NA,NA,"Q_8190","Informational Fullscreen",NA,FALSE
"RG PRACTICE DAILY DIARY ITEMS","","4718","Question 8191","RG PRACTICE DAILY DIARY ITEMS ID 471","Item 7687","Question","RG PRACTICE DAILY DIARY ITEMS ID 471",NA,"How FREQUENT have your alcohol or drug cravings been?",3,NA,NA,NA,NA,NA,"Q_8191","Slider","numeric",FALSE
"RG PRACTICE DAILY DIARY ITEMS","","4719","Question 8192","RG PRACTICE DAILY DIARY ITEMS ID 471","Item 7688","Question","RG PRACTICE DAILY DIARY ITEMS ID 471",NA,"How INTENSE have your alcohol or drug cravings been?",3,NA,NA,NA,NA,NA,"Q_8192","Slider","numeric",FALSE
"RG PRACTICE DAILY DIARY ITEMS","","47110","Question 8193","RG PRACTICE DAILY DIARY ITEMS ID 471","Item 7689","Question","RG PRACTICE DAILY DIARY ITEMS ID 471",NA,"My day has been...",17,NA,NA,NA,NA,NA,"Q_8193","Multiple Slider",NA,TRUE
NA,NA,NA,NA,"Daily Diary ID 470","Item 7677","Block","Daily Diary ID 470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Diary ID 470","Item 7615","Block","Item 7677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Diary ID 470","Item 7636","Block","Item 7677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Diary ID 470","Item 7635","Block","Item 7677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Diary ID 470","Item 7613","Block","Item 7615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Diary ID 470","Item 7637","Block","Item 7636",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Diary ID 470","Item 7630","Block","Item 7635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Diary ID 470","Item 7647","Block","Item 7635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Diary ID 470","Item 7648","Block","Item 7635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Diary ID 470","Item 7657","Block","Item 7635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Diary ID 470","Item 7665","Block","Item 7635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Diary ID 470","Item 7675","Block","Item 7635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Diary ID 470","Item 7673","Block","Item 7675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
