"survey","question","type","value","definition"
"Daily Diary ID 470","Question 8071","Response","8","Mindfulness-based recovery"
"Daily Diary ID 470","Question 8071","Response","9","Grief support"
"Daily Diary ID 470","Question 8071","Multi Slider","49857",""
"Daily Diary ID 470","Question 8071","Multi Slider","49866",""
"Daily Diary ID 470","Question 8071","Multi Slider","49867",""
"Daily Diary ID 470","Question 8071","Multi Slider","49858",""
"Daily Diary ID 470","Question 8071","Multi Slider","49859",""
"Daily Diary ID 470","Question 8071","Multi Slider","49860",""
"Daily Diary ID 470","Question 8071","Multi Slider","49861",""
"Daily Diary ID 470","Question 8071","Multi Slider","49862",""
"Daily Diary ID 470","Question 8071","Multi Slider","49863",""
"Daily Diary ID 470","Question 8071","Multi Slider","49864",""
"Daily Diary ID 470","Question 8071","Multi Slider","49865",""
"Daily Diary ID 470","Question 8070","Response","1","Attended a recovery support group meeting (e.g., 12 step or ANY other group meeting)"
"Daily Diary ID 470","Question 8070","Response","10","Other (write in)"
"Daily Diary ID 470","Question 8070","Response","2","Just hung out/ social activities"
"Daily Diary ID 470","Question 8070","Response","3","Volunteered/gave back to community"
"Daily Diary ID 470","Question 8070","Response","4","Connected to the recovery community"
"Daily Diary ID 470","Question 8070","Response","5","Used computer or internet or WiFi"
"Daily Diary ID 470","Question 8070","Response","6","Received recovery coaching"
"Daily Diary ID 470","Question 8070","Response","7","Tried to help or be there for others"
"Daily Diary ID 470","Question 8070","Response","8","Got advice for financial, legal, housing, education, psychological, or medical issues"
"Daily Diary ID 470","Question 8070","Response","9","Took part in health/exercise/meditation/self-care class"
"Daily Diary ID 470","Question 8070","Multi Slider","49847",""
"Daily Diary ID 470","Question 8070","Multi Slider","49856",""
"Daily Diary ID 470","Question 8070","Multi Slider","49848",""
"Daily Diary ID 470","Question 8070","Multi Slider","49849",""
"Daily Diary ID 470","Question 8070","Multi Slider","49850",""
"Daily Diary ID 470","Question 8070","Multi Slider","49851",""
"Daily Diary ID 470","Question 8070","Multi Slider","49852",""
"Daily Diary ID 470","Question 8070","Multi Slider","49853",""
"Daily Diary ID 470","Question 8070","Multi Slider","49854",""
"Daily Diary ID 470","Question 8070","Multi Slider","49855",""
"Daily Diary ID 470","Question 8183","Response","-1","No Response"
"Daily Diary ID 470","Question 8183","Response","1","I DID NOT interact with kid or kids today"
"Daily Diary ID 470","Question 8183","Response","2","I DID interact with kid or kids today"
"Daily Diary ID 470","Question 8183","Multi Slider","50425",""
"Daily Diary ID 470","Question 8183","Multi Slider","50426",""
"Daily Diary ID 470","Question 8183","Multi Slider","50427",""
"Daily Diary ID 470","Question 8183","Multi Slider","50423",""
"Daily Diary ID 470","Question 8183","Multi Slider","50424",""
"Daily Diary ID 470","Question 8647","Response","1","Phone call"
"Daily Diary ID 470","Question 8647","Response","2","Voice message"
"Daily Diary ID 470","Question 8647","Response","3","Video call"
"Daily Diary ID 470","Question 8647","Response","4","Text message"
"Daily Diary ID 470","Question 8647","Response","5","In-person"
"Daily Diary ID 470","Question 8647","Response","6","Posting to social media about kid"
"Daily Diary ID 470","Question 8647","Response","7","Responding to a kid's post"
"Daily Diary ID 470","Question 8647","Response","8","Messaging through facebook or other social media"
"Daily Diary ID 470","Question 8647","Response","9","Other"
"Daily Diary ID 470","Question 8647","Multi Slider","52575",""
"Daily Diary ID 470","Question 8647","Multi Slider","52576",""
"Daily Diary ID 470","Question 8647","Multi Slider","52577",""
"Daily Diary ID 470","Question 8647","Multi Slider","52578",""
"Daily Diary ID 470","Question 8647","Multi Slider","52579",""
"Daily Diary ID 470","Question 8647","Multi Slider","52580",""
"Daily Diary ID 470","Question 8647","Multi Slider","52581",""
"Daily Diary ID 470","Question 8647","Multi Slider","52582",""
"Daily Diary ID 470","Question 8647","Multi Slider","52583",""
"Daily Diary ID 470","Question 8648","Response","1","Phone call"
"Daily Diary ID 470","Question 8648","Response","2","Voice message"
"Daily Diary ID 470","Question 8648","Response","3","Video call"
"Daily Diary ID 470","Question 8648","Response","4","Text message"
"Daily Diary ID 470","Question 8648","Response","5","In-person"
"Daily Diary ID 470","Question 8648","Response","6","Posting to social media about kid"
"Daily Diary ID 470","Question 8648","Response","7","Responding to a kid's post"
"Daily Diary ID 470","Question 8648","Response","8","Messaging through facebook or other social media"
"Daily Diary ID 470","Question 8648","Response","9","Other"
"Daily Diary ID 470","Question 8648","Multi Slider","52593",""
"Daily Diary ID 470","Question 8648","Multi Slider","52594",""
"Daily Diary ID 470","Question 8648","Multi Slider","52595",""
"Daily Diary ID 470","Question 8648","Multi Slider","52596",""
"Daily Diary ID 470","Question 8648","Multi Slider","52597",""
"Daily Diary ID 470","Question 8648","Multi Slider","52598",""
"Daily Diary ID 470","Question 8648","Multi Slider","52599",""
"Daily Diary ID 470","Question 8648","Multi Slider","52600",""
"Daily Diary ID 470","Question 8648","Multi Slider","52601",""
"Daily Diary ID 470","Question 8065","Response","1","Healthcare"
"Daily Diary ID 470","Question 8065","Response","2","Financial needs"
"Daily Diary ID 470","Question 8065","Response","3","Food"
"Daily Diary ID 470","Question 8065","Response","4","Shelter"
"Daily Diary ID 470","Question 8065","Response","5","Transportation"
"Daily Diary ID 470","Question 8065","Response","6","Other types of help to addresse your practical needs and physical wellbeing"
"Daily Diary ID 470","Question 8065","Response","7","I did not receive any assistance, support, or help in any of these areas today."
"Daily Diary ID 470","Question 8065","Multi Slider","49810",""
"Daily Diary ID 470","Question 8065","Multi Slider","49811",""
"Daily Diary ID 470","Question 8065","Multi Slider","49812",""
"Daily Diary ID 470","Question 8065","Multi Slider","49813",""
"Daily Diary ID 470","Question 8065","Multi Slider","49814",""
"Daily Diary ID 470","Question 8065","Multi Slider","49815",""
"Daily Diary ID 470","Question 8065","Multi Slider","49816",""
"Daily Diary ID 470","Question 8179","Response","-1","%%"
"Daily Diary ID 470","Question 8179","Multi Slider","50345",""
"Daily Diary ID 470","Question 8066","Response","1","Certified Recovery Coach/specialist"
"Daily Diary ID 470","Question 8066","Response","2","Non-recovery friends and family"
"Daily Diary ID 470","Question 8066","Response","3","Recovering friends and family"
"Daily Diary ID 470","Question 8066","Response","4","My sponsor"
"Daily Diary ID 470","Question 8066","Response","5","Therapist/counselor"
"Daily Diary ID 470","Question 8066","Response","6","Community Resource – recovery center, mutual aid meeting, drug courts, educational setting, recovery housing,  treatment center, etc."
"Daily Diary ID 470","Question 8066","Response","7","Cultural/Spiritual/Faith-Based Institution"
"Daily Diary ID 470","Question 8066","Response","8","Another source of support"
"Daily Diary ID 470","Question 8066","Multi Slider","49817",""
"Daily Diary ID 470","Question 8066","Multi Slider","49818",""
"Daily Diary ID 470","Question 8066","Multi Slider","49819",""
"Daily Diary ID 470","Question 8066","Multi Slider","49820",""
"Daily Diary ID 470","Question 8066","Multi Slider","49821",""
"Daily Diary ID 470","Question 8066","Multi Slider","49822",""
"Daily Diary ID 470","Question 8066","Multi Slider","49823",""
"Daily Diary ID 470","Question 8066","Multi Slider","49824",""
"Daily Diary ID 470","Question 8116","Response","1","1 minute"
"Daily Diary ID 470","Question 8116","Response","120","2+ hours"
"Daily Diary ID 470","Question 8116","Multi Slider","50047",""
"Daily Diary ID 470","Question 8116","Multi Slider","50048",""
"Daily Diary ID 470","Question 8182","Response","1","1 minute"
"Daily Diary ID 470","Question 8182","Response","180","2+ hours"
"Daily Diary ID 470","Question 8182","Multi Slider","50365",""
"Daily Diary ID 470","Question 8182","Multi Slider","50366",""
"Daily Diary ID 470","Question 8109","Response","100","Strongly agree"
"Daily Diary ID 470","Question 8109","Multi Slider","50012","I was committed to my recovery"
"Daily Diary ID 470","Question 8109","Multi Slider","50014","I worked hard on my recovery"
"Daily Diary ID 470","Question 8109","Multi Slider","50016","I kept my recovery central to my day"
"Daily Diary ID 470","Question 8109","Multi Slider","50018","I felt connected to other people in recovery"
"Daily Diary ID 470","Question 8109","Multi Slider","50020","I was grateful to be in recovery"
"Daily Diary ID 470","Question 8109","Multi Slider","50022","I missed my old drug use/drinking social group"
"Daily Diary ID 470","Question 8109","Multi Slider","50013","I was committed to my recovery"
"Daily Diary ID 470","Question 8109","Multi Slider","50015","I worked hard on my recovery"
"Daily Diary ID 470","Question 8109","Multi Slider","50017","I kept my recovery central to my day"
"Daily Diary ID 470","Question 8109","Multi Slider","50019","I felt connected to other people in recovery"
"Daily Diary ID 470","Question 8109","Multi Slider","50021","I was grateful to be in recovery"
"Daily Diary ID 470","Question 8109","Multi Slider","50023","I missed my old drug use/drinking social group"
"Daily Diary ID 470","Question 8101","Response","100","VERY FREQUENT"
"Daily Diary ID 470","Question 8101","Multi Slider","49978",""
"Daily Diary ID 470","Question 8101","Multi Slider","49979",""
"Daily Diary ID 470","Question 8095","Response","100","Strongly agree"
"Daily Diary ID 470","Question 8095","Multi Slider","49964",""
"Daily Diary ID 470","Question 8095","Multi Slider","49965",""
"Daily Diary ID 470","Question 8078","Response","-1","%%"
"Daily Diary ID 470","Question 8078","Multi Slider","49896",""
"Daily Diary ID 470","Question 8085","Response","-1","%%"
"Daily Diary ID 470","Question 8085","Multi Slider","49923",""
"Daily Diary ID 470","Question 8087","Response","1","Church/religious institution"
"Daily Diary ID 470","Question 8087","Response","2","School"
"Daily Diary ID 470","Question 8087","Response","3","Other government building"
"Daily Diary ID 470","Question 8087","Response","4","Clubhouse"
"Daily Diary ID 470","Question 8087","Response","5","Community center"
"Daily Diary ID 470","Question 8087","Response","6","Online"
"Daily Diary ID 470","Question 8087","Response","7","Other"
"Daily Diary ID 470","Question 8087","Multi Slider","49935",""
"Daily Diary ID 470","Question 8087","Multi Slider","49936",""
"Daily Diary ID 470","Question 8087","Multi Slider","49937",""
"Daily Diary ID 470","Question 8087","Multi Slider","49938",""
"Daily Diary ID 470","Question 8087","Multi Slider","49939",""
"Daily Diary ID 470","Question 8087","Multi Slider","49940",""
"Daily Diary ID 470","Question 8087","Multi Slider","49941",""
"Daily Diary ID 470","Question 8121","Response","-1","No Response"
"Daily Diary ID 470","Question 8121","Multi Slider","50057",""
"Daily Diary ID 470","Question 8110","Response","100","VERY"
"Daily Diary ID 470","Question 8110","Multi Slider","50024","a STRESSFUL day"
"Daily Diary ID 470","Question 8110","Multi Slider","50026","a POSITIVE day"
"Daily Diary ID 470","Question 8110","Multi Slider","50028","a CHALLENGING day"
"Daily Diary ID 470","Question 8110","Multi Slider","50030","an ENJOYABLE day"
"Daily Diary ID 470","Question 8110","Multi Slider","50025","a STRESSFUL day"
"Daily Diary ID 470","Question 8110","Multi Slider","50027","a POSITIVE day"
"Daily Diary ID 470","Question 8110","Multi Slider","50029","a CHALLENGING day"
"Daily Diary ID 470","Question 8110","Multi Slider","50031","an ENJOYABLE day"
"Daily Diary ID 470","Question 8079","Response","1","“All Recovery”"
"Daily Diary ID 470","Question 8079","Response","10","Faith-based Meeting"
"Daily Diary ID 470","Question 8079","Response","11","Other"
"Daily Diary ID 470","Question 8079","Response","2","Dual Recovery Anonymous"
"Daily Diary ID 470","Question 8079","Response","3","Recovery Life"
"Daily Diary ID 470","Question 8079","Response","4","SMART Recovery"
"Daily Diary ID 470","Question 8079","Response","5","Gambler’s Anonymous"
"Daily Diary ID 470","Question 8079","Response","6","AA/NA/HA (12-step oriented meeting)"
"Daily Diary ID 470","Question 8079","Response","7","MAT/MAR Meeting"
"Daily Diary ID 470","Question 8079","Response","8","Mindfulness-based recovery"
"Daily Diary ID 470","Question 8079","Response","9","Grief support"
"Daily Diary ID 470","Question 8079","Multi Slider","49897",""
"Daily Diary ID 470","Question 8079","Multi Slider","49906",""
"Daily Diary ID 470","Question 8079","Multi Slider","49907",""
"Daily Diary ID 470","Question 8079","Multi Slider","49898",""
"Daily Diary ID 470","Question 8079","Multi Slider","49899",""
"Daily Diary ID 470","Question 8079","Multi Slider","49900",""
"Daily Diary ID 470","Question 8079","Multi Slider","49901",""
"Daily Diary ID 470","Question 8079","Multi Slider","49902",""
"Daily Diary ID 470","Question 8079","Multi Slider","49903",""
"Daily Diary ID 470","Question 8079","Multi Slider","49904",""
"Daily Diary ID 470","Question 8079","Multi Slider","49905",""
"Daily Diary ID 470","Question 8117","Response","100","VERY"
"Daily Diary ID 470","Question 8117","Multi Slider","50049",""
"Daily Diary ID 470","Question 8117","Multi Slider","50050",""
"Daily Diary ID 470","Question 8102","Response","100","VERY INTENSE"
"Daily Diary ID 470","Question 8102","Multi Slider","49980",""
"Daily Diary ID 470","Question 8102","Multi Slider","49981",""
"Daily Diary ID 470","Question 8083","Response","-1","No Response"
"Daily Diary ID 470","Question 8083","Multi Slider","49913",""
"Daily Diary ID 470","Question 8177","Response","1","Dealing with personal relationships"
"Daily Diary ID 470","Question 8177","Response","2","Finding meaning and purpose in life"
"Daily Diary ID 470","Question 8177","Response","3","Problem solving skills and tasks"
"Daily Diary ID 470","Question 8177","Response","4","Recovery support"
"Daily Diary ID 470","Question 8177","Response","5","Other interpersonal support not described above"
"Daily Diary ID 470","Question 8177","Response","6","I did not receive any assistance, support, or help today."
"Daily Diary ID 470","Question 8177","Multi Slider","50331",""
"Daily Diary ID 470","Question 8177","Multi Slider","50332",""
"Daily Diary ID 470","Question 8177","Multi Slider","50333",""
"Daily Diary ID 470","Question 8177","Multi Slider","50334",""
"Daily Diary ID 470","Question 8177","Multi Slider","50335",""
"Daily Diary ID 470","Question 8177","Multi Slider","50336",""
"Daily Diary ID 470","Question 8096","Response","100","Strongly agree"
"Daily Diary ID 470","Question 8096","Multi Slider","49966",""
"Daily Diary ID 470","Question 8096","Multi Slider","49967",""
"Daily Diary ID 470","Question 8072","Response","-1","No Response"
"Daily Diary ID 470","Question 8072","Multi Slider","49868",""
"Daily Diary ID 470","Question 8067","Response","1","Dealing with personal relationships"
"Daily Diary ID 470","Question 8067","Response","2","Finding meaning and purpose in life"
"Daily Diary ID 470","Question 8067","Response","3","Problem solving skills and tasks"
"Daily Diary ID 470","Question 8067","Response","4","Recovery support"
"Daily Diary ID 470","Question 8067","Response","5","Other interpersonal support not described above"
"Daily Diary ID 470","Question 8067","Response","6","I did not receive any assistance, support, or help today."
"Daily Diary ID 470","Question 8067","Multi Slider","49825",""
"Daily Diary ID 470","Question 8067","Multi Slider","49826",""
"Daily Diary ID 470","Question 8067","Multi Slider","49827",""
"Daily Diary ID 470","Question 8067","Multi Slider","49828",""
"Daily Diary ID 470","Question 8067","Multi Slider","49829",""
"Daily Diary ID 470","Question 8067","Multi Slider","49830",""
"Daily Diary ID 470","Question 8111","Response","-1","No Response"
"Daily Diary ID 470","Question 8111","Multi Slider","50032",""
"Daily Diary ID 470","Question 8178","Response","1","Certified Recovery Coach/specialist"
"Daily Diary ID 470","Question 8178","Response","2","Non-recovery friends and family"
"Daily Diary ID 470","Question 8178","Response","3","Recovering friends and family"
"Daily Diary ID 470","Question 8178","Response","4","My sponsor"
"Daily Diary ID 470","Question 8178","Response","5","Therapist/counselor"
"Daily Diary ID 470","Question 8178","Response","6","Community Resource – recovery center, mutual aid meeting, drug courts, educational setting, recovery housing, treatment center, etc."
"Daily Diary ID 470","Question 8178","Response","7","Cultural/Spiritual/Faith-Based Institution"
"Daily Diary ID 470","Question 8178","Response","8","Another source of support"
"Daily Diary ID 470","Question 8178","Multi Slider","50337",""
"Daily Diary ID 470","Question 8178","Multi Slider","50338",""
"Daily Diary ID 470","Question 8178","Multi Slider","50339",""
"Daily Diary ID 470","Question 8178","Multi Slider","50340",""
"Daily Diary ID 470","Question 8178","Multi Slider","50341",""
"Daily Diary ID 470","Question 8178","Multi Slider","50342",""
"Daily Diary ID 470","Question 8178","Multi Slider","50343",""
"Daily Diary ID 470","Question 8178","Multi Slider","50344",""
"Daily Diary ID 470","Question 8118","Response","100","VERY"
"Daily Diary ID 470","Question 8118","Multi Slider","50051",""
"Daily Diary ID 470","Question 8118","Multi Slider","50052",""
"Daily Diary ID 470","Question 8073","Response","100","VERY"
"Daily Diary ID 470","Question 8073","Multi Slider","49869",""
"Daily Diary ID 470","Question 8073","Multi Slider","49870",""
"Daily Diary ID 470","Question 8068","Response","1","Certified Recovery Coach/specialist"
"Daily Diary ID 470","Question 8068","Response","2","Non-recovery friends and family"
"Daily Diary ID 470","Question 8068","Response","3","Recovering friends and family"
"Daily Diary ID 470","Question 8068","Response","4","My sponsor"
"Daily Diary ID 470","Question 8068","Response","5","Therapist/counselor"
