"Survey","Block","Sub.block","Item.ID","Question.ID","Question.Text","Question.Type","Conditional.Child.Item.ID","Conditional.Fail.Item.ID","Conditional.Threshold","Conditional.Type","Conditional.Master.Item.ID","Question.Type.Display.Name","Result.Type","Multiple.Question.Type"
"Item 5756","","","Item 5750","Question 6076","How useful was the meeting(s) for you?",3,NA,NA,NA,NA,"5784","Slider","numeric",FALSE
"Item 5756","","","Item 5751","Question 6077","How supportive did you find the meeting(s)?",3,NA,NA,NA,NA,NA,"Slider","numeric",FALSE
"Item 5756","","","Item 5752","Question 6078","How connected did you feel to others at the meeting(s)?",3,NA,NA,NA,NA,NA,"Slider","numeric",FALSE
"Item 5756","","","Item 5753","Question 6079","How engaged were you during the meeting(s)?",3,NA,NA,NA,NA,NA,"Slider","numeric",FALSE
"Item 5756","","","Item 5754","Question 6080","How much did you talk during the meeting(s)?",3,NA,NA,NA,NA,NA,"Slider","numeric",FALSE
"Item 5756","","","Item 5755","Question 6081","How comfortable were you during the meeting(s)?",3,NA,NA,NA,NA,NA,"Slider","numeric",FALSE
"Daily Diary ID 365","","","Item 5757","Question 5995","Did you work for pay today?",0,NA,NA,NA,NA,"5748","Multiple Choice","integer",FALSE
"Item 5786","","","Item 5758","Question 6027","I ENJOYED work",3,NA,NA,NA,NA,NA,"Slider","numeric",FALSE
"Item 5786","","","Item 5759","Question 6028","I felt COMPETENT at work",3,NA,NA,NA,NA,NA,"Slider","numeric",FALSE
"Item 5786","","","Item 5760","Question 6029","I felt a sense of ACCOMPLISHMENT at work",3,NA,NA,NA,NA,NA,"Slider","numeric",FALSE
"Item 5786","","","Item 5761","Question 6030","I felt CONNECTED to my work or with other people at work",3,NA,NA,NA,NA,NA,"Slider","numeric",FALSE
"Item 5763","","","Item 5762","Question 5996","Why did you not go to work?",0,"5794","5793","6","1",NA,"Multiple Choice","integer",FALSE
"Item 5763","","","Item 5794","Question 6040","Please specify:",11,NA,NA,NA,NA,"5762","Free Response","character",FALSE
"Item 5763","","","Item 5793","Question 6041","End Block",21,NA,NA,NA,NA,"5762","End Block",NA,FALSE
"Daily Diary ID 365","","","Item 5764","Question 5997","The following questions ask about how you have felt this evening",6,NA,NA,NA,NA,NA,"Informational Fullscreen",NA,FALSE
"Daily Diary ID 365","","","Item 5765","Question 5998","THIS EVENING...",6,NA,NA,NA,NA,NA,"Informational Fullscreen",NA,FALSE
"Daily Diary ID 365","","","Item 5766","Question 5999","How FREQUENT have your alcohol or drug cravings been?",3,NA,NA,NA,NA,NA,"Slider","numeric",FALSE
"Daily Diary ID 365","","","Item 5767","Question 6000","How INTENSE have your alcohol or drug cravings been?",3,NA,NA,NA,NA,NA,"Slider","numeric",FALSE
"Daily Diary ID 365","","","Item 5769","Question 6001","THIS EVENING, have you felt...",17,NA,NA,NA,NA,NA,"Multiple Slider",NA,TRUE
"Daily Diary ID 365","","","Item 5770","Question 6002","Please think of your experiences throughout THE ENTIRE DAY",6,NA,NA,NA,NA,NA,"Informational Fullscreen",NA,FALSE
"Daily Diary ID 365","","","Item 5771","Question 6003","My day has been...",17,NA,NA,NA,NA,NA,"Multiple Slider",NA,TRUE
"Daily Diary ID 365","","","Item 5772","Question 6004","Thinking about today, I feel like I...",17,NA,NA,NA,NA,NA,"Multiple Slider",NA,TRUE
"Daily Diary ID 365","","","Item 5773","Question 6031","THINKING ABOUT TODAY, I feel like",17,NA,NA,NA,NA,NA,"Multiple Slider",NA,TRUE
"Daily Diary ID 365","","","Item 5774","Question 6006","The following questions ask you to reflect on how you felt about your relationship with your family for THE ENTIRE DAY.",6,NA,NA,NA,NA,NA,"Informational Fullscreen",NA,FALSE
"Daily Diary ID 365","","","Item 5775","Question 6007","I felt...",17,NA,NA,NA,NA,NA,"Multiple Slider",NA,TRUE
"Daily Diary ID 365","","","Item 5776","Question 6008","My family showed...",17,NA,NA,NA,NA,NA,"Multiple Slider",NA,TRUE
"Daily Diary ID 365","","","Item 5777","Question 6009","Other people in recovery showed...",17,NA,NA,NA,NA,NA,"Multiple Slider",NA,TRUE
"Daily Diary ID 365","","","Item 5778","Question 6010","When thinking about tomorrow...",6,NA,NA,NA,NA,NA,"Informational Fullscreen",NA,FALSE
"Daily Diary ID 365","","","Item 5779","Question 6011","I think tomorrow will be...",17,NA,NA,NA,NA,NA,"Multiple Slider",NA,TRUE
"Daily Diary ID 365","","","Item 5780","Question 6012","I'm worried about my ability to...",17,NA,NA,NA,NA,NA,"Multiple Slider",NA,TRUE
"Daily Diary ID 365","","","Item 5787","Question 6032","Describe what was challenging and / or good about your day and how you feel about it (about recovery or not):",11,NA,NA,NA,NA,NA,"Free Response","character",FALSE
"RCC Practice Daily Diary Items ID 388","","","Item 6019","Question 6161","The following questions ask about your experiences DURING THE DAY",6,NA,NA,NA,NA,NA,"Informational Fullscreen",NA,FALSE
"RCC Practice Daily Diary Items ID 388","","","Item 6020","Question 6162","Please check off any recovery support meetings you attended today?",7,"6026","6025","2","3",NA,"Multiple Select","integer",TRUE
"Item 6026","","","Item 6021","Question 6163","Where did you attend the meeting?",7,NA,NA,NA,NA,NA,"Multiple Select","integer",TRUE
"Item 6026","","","Item 6022","Question 6164","How useful was the meeting for you?",3,NA,NA,NA,NA,NA,"Slider","numeric",FALSE
"RCC Practice Daily Diary Items ID 388","","","Item 6025","Question 6165","Today...",6,NA,NA,NA,NA,"6020","Informational Fullscreen",NA,FALSE
"RCC Practice Daily Diary Items ID 388","","","Item 6023","Question 6166","How FREQUENT have your alcohol or drug cravings been?",3,NA,NA,NA,NA,NA,"Slider","numeric",FALSE
"RCC Practice Daily Diary Items ID 388","","","Item 6024","Question 6167","How INTENSE have your alcohol or drug cravings been?",3,NA,NA,NA,NA,NA,"Slider","numeric",FALSE
"RCC Practice Daily Diary Items ID 388","","","Item 6028","Question 6168","My day has been...",17,NA,NA,NA,NA,NA,"Multiple Slider",NA,TRUE
"RCC Practice Daily Diary Items ID 388","","","Item 6029","Question 6169","THINKING ABOUT TODAY, I feel like...",17,NA,NA,NA,NA,NA,"Multiple Slider",NA,TRUE
"RCC Practice Daily Diary Items ID 388","","","Item 6030","Question 6170","Other people in recovery showed...",17,NA,NA,NA,NA,NA,"Multiple Slider",NA,TRUE
"RCC Practice Daily Diary Items ID 388","","","Item 6031","Question 6171","When thinking about tomorrow...",6,NA,NA,NA,NA,NA,"Informational Fullscreen",NA,FALSE
"RCC Practice Daily Diary Items ID 388","","","Item 6032","Question 6172","I think tomorrow will be...",17,NA,NA,NA,NA,NA,"Multiple Slider",NA,TRUE
"RCC Practice Daily Diary Items ID 388","","","Item 6033","Question 6173","I'm worried about my ability to...",17,NA,NA,NA,NA,NA,"Multiple Slider",NA,TRUE
"RCC Practice Daily Diary Items ID 388","","","Item 6034","Question 6174","OPTIONAL DAILY REFLECTION: Describe what was challenging and/or good about your day and how you feel about it (about recovery or not): Up to around 100 words",11,NA,NA,NA,NA,NA,"Free Response","character",FALSE
