Article,What does it conceptualize?,Usual modeling characteristics,Is it a statistically validated measure?,Scale Name,Parent Scale,Sub Scale,Scale / Item,Text of the item,"Is it reverse coded 
or transformed?",Does this item potentially contain identifying information?,Type of scale,Scoring,Type of data,Time Stem,Top-level question,Anchors/answers or mapping/representation (numeric),Anchors/answers or mapping/representation (nominal),Delivery mechanism,How frequently is it delivered?,Citation,Notes,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,"[Aspiration Index] represents "" (a) the importance of the aspiration and (b) the likelihood it will happen in the future"" with the aspirations being growth, relatedness, helpfulness, health, money, fame, image. The measures of""intrinsic and extrinsic applications and guiding principles are explored in relation to indexes of"" all of the other listed measures.",NA,1,Aspiration index,NA,"intrinsic aspiration, extrinsic aspiration",Scale,,,,,,,,,,,paper,only once,"Kasser, T., & Ryan, R. M. (1996). Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. Personality and Social Psychology Bulletin, 22(3), 280-287. https://doi.org/10.1177/0146167296223006",,
,,,,Intrinsic aspiration,Aspiration Index,NA,,,,,,,,,,,,,,,,
,,,,Extrinsic aspiration,Aspiration Index,NA,,,,,,,,,,,,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be a very wealthy person. How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be a very wealthy person. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be a very wealthy person. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To grow and learn new things.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To grow and learn new things. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To grow and learn new things. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have my name known by many people.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have my name known by many people. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have my name known by many people. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have good friends that I can count on.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have good friends that I can count on. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have good friends that I can count on. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To successfully hide the signs of aging.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To successfully hide the signs of aging. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To successfully hide the signs of aging. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To work for the betterment of society.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To work for the betterment of society. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To work for the betterment of society. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be physically healthy.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be physically healthy. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be physically healthy. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have many expensive possessions.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have many expensive possessions. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have many expensive possessions. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal: At the end of my life, to be able to look back on my life as meaningful and complete.  How important is this to you?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal:  At the end of my life, to be able to look back on my life as meaningful and complete. How likely is it that this will happen in your future?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal: At the end of my life, to be able to look back on my life as meaningful and complete. How much have you already attained this goal?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be admired by many people.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be admired by many people. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be admired by many people. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To share my life with someone I love.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal:  To share my life with someone I love. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To share my life with someone I love. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have people comment often about how attractive I look.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal:  To have people comment often about how attractive I look. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal:  To have people comment often about how attractive I look. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal: To assist people who need it, asking nothing in return.  How important is this to you?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal: To assist people who need it, asking nothing in return. How likely is it that this will happen in your future?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal: To assist people who need it, asking nothing in return. How much have you already attained this goal?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To feel good about my level of physical fitness.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To feel good about my level of physical fitness. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To feel good about my level of physical fitness. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be financially successful. How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be financially successful. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be financially successful. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal: To choose what I do, instead of being pushed along by life.  How important is this to you?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal: To choose what I do, instead of being pushed along by life. How likely is it that this will happen in your future?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal: To choose what I do, instead of being pushed along by life. How much have you already attained this goal?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be famous.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be famous. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be famous. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal: To have committed, intimate relationships.  How important is this to you?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal:  To have committed, intimate relationships. How likely is it that this will happen in your future?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,"Life-goal:  To have committed, intimate relationships. How much have you already attained this goal?",0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To keep up with fashions in hair and clothing.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To keep up with fashions in hair and clothing. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To keep up with fashions in hair and clothing. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To work to make the world a better place.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To work to make the world a better place. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To work to make the world a better place. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To keep myself healthy and well.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To keep myself healthy and well. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To keep myself healthy and well. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be rich.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be rich. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To be rich. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To know and accept who I really am.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To know and accept who I really am. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To know and accept who I really am. How much have you already attained this goal?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have my name appear frequently in the media.  How important is this to you?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
 Further Examining the American Dream: Differential Correlates of Intrinsic and Extrinsic Goals. ,,,,NA,,,Item,Life-goal: To have my name appear frequently in the media. How likely is it that this will happen in your future?,0,0,multiple choice,factor analysis,ordinal,NA,Life goal: ___,"1-7 (1= not at all, 4 = moderately, 7= very)",NA,,,,,
