"Survey.LongName","Question.ID","Question.Text","Question.Type.Display.Name","Result.Type","Missingness.Codes","Response.Range","Response.Text"
"CSAR Daily Diary","Question 1567","Which of the following activities/services did you take part in outside of CSAR today? <br><br><u>Please check all that apply:</u>","Multiple Select","integer",NA,"1 - 9","Attended a recovery support meeting (e.g., 12 step or ANY other recovery group meeting) not at CSAR, Helped out someone in the CSAR community, Just hung out with CSAR friends, Just hung out with non-CSAR recovery friends, Just hung out with people who are not in recovery, Studied or did schoolwork, Received recovery coaching, Took part in health/exercise/meditation/self-care class, Other"
"CSAR Daily Diary","Question 1568","What other activity/service did you take part in?","Free Response","character",NA,"-1 - -1","%%"
"CSAR Daily Diary","Question 1569","When thinking about your experiences outside of the CSAR...","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"CSAR Daily Diary","Question 1570","While NOT at CSAR, how helpful were your experiences to your recovery?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1571","While NOT at CSAR, how supported by others did you feel today?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1572","While NOT at the CSAR, how connected to others did you feel?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1573","While NOT at the CSAR, how accepted by others did you feel?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1574","Please think of your experiences throughout THE ENTIRE DAY","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"CSAR Daily Diary","Question 1575","My day has been…","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"CSAR Daily Diary","Question 1576","MEANINGFUL","Slider","numeric",NA,"100 - 100","Strongly agree"
"CSAR Daily Diary","Question 1577","GRATIFYING","Slider","numeric",NA,"100 - 100","Strongly agree"
"CSAR Daily Diary","Question 1578","FULFILLING","Slider","numeric",NA,"100 - 100","Strongly agree"
"CSAR Daily Diary","Question 1579","PURPOSEFUL","Slider","numeric",NA,"100 - 100","Strongly agree"
"CSAR Daily Diary","Question 1580","SATISFYING","Slider","numeric",NA,"100 - 100","Strongly agree"
"CSAR Daily Diary","Question 1581","Thinking about today, I feel like I…","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"CSAR Daily Diary","Question 1582","...was interested in my activities","Slider","numeric",NA,"100 - 100","Strongly agree"
"CSAR Daily Diary","Question 1583","...handled my responsibilities","Slider","numeric",NA,"100 - 100","Strongly agree"
"CSAR Daily Diary","Question 1584","...was competent","Slider","numeric",NA,"100 - 100","Strongly agree"
"CSAR Daily Diary","Question 1585","...felt a sense of accomplishment","Slider","numeric",NA,"100 - 100","Strongly agree"
"CSAR Daily Diary","Question 1586","THINKING ABOUT TODAY, I feel like…","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"CSAR Daily Diary","Question 1587","... I was committed to my recovery","Slider","numeric",NA,"100 - 100","Strongly agree"
"CSAR Daily Diary","Question 1588","... I worked hard on my recovery","Slider","numeric",NA,"100 - 100","Strongly agree"
"CSAR Daily Diary","Question 1589","... I kept my recovery central to my day","Slider","numeric",NA,"100 - 100","Strongly agree"
"CSAR Daily Diary","Question 1590","... I felt like a “person in recovery”","Slider","numeric",NA,"100 - 100","Strongly agree"
"CSAR Daily Diary","Question 1591","... I felt connected to other people in recovery","Slider","numeric",NA,"100 - 100","Strongly agree"
"CSAR Daily Diary","Question 1592","... I was grateful to be in recovery","Slider","numeric",NA,"100 - 100","Strongly agree"
"CSAR Daily Diary","Question 1593","Some social experiences are supportive and others can be challenging to deal with.  Please report any supportive or challenging experiences.","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"CSAR Daily Diary","Question 1594","Did you have ANY SUPPORTIVE SOCIAL EXPERIENCES TODAY?","Multiple Choice","integer",NA,"1 - 2","Yes, No"
"CSAR Daily Diary","Question 1595","How SUPPORTIVE was the MOST supportive experience you had today?","Slider","numeric",NA,"100 - 100","Very supportive"
"CSAR Daily Diary","Question 1658","Who did you have this supportive experience with?<br><br>(Please select all that apply)",NA,NA,NA,"1 - 5","CSAR faculty/staff, Other CSAR friend, Non-CSAR recovery person, Family member, Other"
"CSAR Daily Diary","Question 1597","Please enter the name of the person you had a supportive experience with:","Free Response","character",NA,"-1 - -1","%%"
"CSAR Daily Diary","Question 1598","End block","End Block",NA,NA,"-1 - -1","No Response"
"CSAR Daily Diary","Question 1599","Did you have ANY CHALLENGING EXPERIENCES TODAY?","Multiple Choice","integer",NA,"1 - 2","Yes, No"
"CSAR Daily Diary","Question 1600","How CHALLENGING was the MOST challenging experience you had today?","Slider","numeric",NA,"100 - 100","Very challenging"
"CSAR Daily Diary","Question 1660","Who did you have this CHALLENGING experience with? <br><br>(select all that apply)",NA,NA,NA,"1 - 5","CSAR faculty/staff, Other CSAR friend, Non-CSAR recovery person, Family member, Other"
"CSAR Daily Diary","Question 1602","Please enter the name of the person you had a challenging experience with:","Free Response","character",NA,"-1 - -1","%%"
"CSAR Daily Diary","Question 1603","End block","End Block",NA,NA,"-1 - -1","No Response"
"CSAR Daily Diary","Question 1604","End block","End Block",NA,NA,"-1 - -1","No Response"
"CSAR Daily Diary","Question 1605","The following questions ask about how you have felt THIS EVENING","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"CSAR Daily Diary","Question 1606","Today, have you felt...","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"CSAR Daily Diary","Question 1607","ANGRY?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1608","LONELY?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1609","IRRITABLE?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1610","RELAXED?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1611","SAD?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1612","CALM?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1613","HAPPY?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1614","JOYFUL?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1615","ANXIOUS?","Slider","numeric",NA,"100 - 100","Very"
"CSAR Daily Diary","Question 1616","THIS EVENING...","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"CSAR Daily Diary","Question 1617","How FREQUENT have your alcohol or drug cravings been?","Slider","numeric",NA,"100 - 100","VERY FREQUENT"
"CSAR Daily Diary","Question 1618","How INTENSE have your alcohol or drug cravings been?","Slider","numeric",NA,"100 - 100","VERY INTENSE"
"CSAR Daily Diary","Question 1619","OPTIONAL DAILY REFLECTION: Describe what was challenging and/or good about your day and how you feel about it (about recovery or not):","Free Response","character",NA,"-1 - -1","%%"
"Practice Survey: CSAR Daily Diary Items","Question 1662","How much time did you spend at the CSAR today?","Multiple Choice","integer",NA,"-1 - 6","No Response, Less than five minutes (just stopped in), 5 - 30 minutes, 30 - 60 minutes, 1 - 2 hours, 2 - 4 hours, More than 4 hours"
"Practice Survey: CSAR Daily Diary Items","Question 1621","Select all activities taken part in or services used at the CSAR today.","Multiple Select","integer",NA,"1 - 8","Recovery support group meeting (12 step or ANY recovery focused meeting), Provided support to someone in the CSAR community, Just hung out/connected to others in the CSAR community, Studied or did schoolwork, Received recovery coaching, Got advice from CSAR staff, Took part in health/exercise/meditation/self-care class, Other"
"Practice Survey: CSAR Daily Diary Items","Question 1623","When thinking about your experiences at the CSAR today...","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Practice Survey: CSAR Daily Diary Items","Question 1622","What other activity did you take part in today at the CSAR?","Free Response","character",NA,"-1 - -1","%%"
"Practice Survey: CSAR Daily Diary Items","Question 1624","How helpful were your experiences at CSAR for your recovery?","Slider","numeric",NA,"100 - 100","Very"
"Practice Survey: CSAR Daily Diary Items","Question 1625","While at the CSAR, how supported by others did you feel today?","Slider","numeric",NA,"100 - 100","Very"
"Practice Survey: CSAR Daily Diary Items","Question 1626","Which of the following activities /services did you take part outside of CSAR today? <br><br><u>Please check all that apply:</u>","Multiple Select","integer",NA,"1 - 9","Attended a recovery support meeting (e.g., 12 step or ANY other recovery group meeting) not at CSAR, Helped out someone in the CSAR community, Just hung out with CSAR friends, Just hung out with non-CSAR recovery friends, Just hung out with people who are not in recovery, Studied or did schoolwork, Received recovery coaching, Took part in health/exercise/meditation/self-care class, Other"
"Practice Survey: CSAR Daily Diary Items","Question 1627","What other activity/service did you take part in outside of CSAR today?","Free Response","character",NA,"-1 - -1","%%"
"Practice Survey: CSAR Daily Diary Items","Question 1628","Please think of your experiences throughout THE ENTIRE DAY...","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Practice Survey: CSAR Daily Diary Items","Question 1630","MEANINGFUL","Slider","numeric",NA,"100 - 100","Strongly agree"
"Practice Survey: CSAR Daily Diary Items","Question 1629","My day has been…","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Practice Survey: CSAR Daily Diary Items","Question 1631","GRATIFYING","Slider","numeric",NA,"100 - 100","Strongly agree"
"Practice Survey: CSAR Daily Diary Items","Question 1632","Thinking about today, I feel like I…","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Practice Survey: CSAR Daily Diary Items","Question 1633","...was interested in my activities","Slider","numeric",NA,"100 - 100","Strongly agree"
"Practice Survey: CSAR Daily Diary Items","Question 1634","...handled my responsibilities","Slider","numeric",NA,"100 - 100","Strongly agree"
"Practice Survey: CSAR Daily Diary Items","Question 1635","THINKING ABOUT TODAY, I feel like…","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Practice Survey: CSAR Daily Diary Items","Question 1636","... I was committed to my recovery.","Slider","numeric",NA,"100 - 100","Strongly agree"
"Practice Survey: CSAR Daily Diary Items","Question 1637","... I worked hard on my recovery","Slider","numeric",NA,"100 - 100","Strongly agree"
"Practice Survey: CSAR Daily Diary Items","Question 1638","Some social experiences are supportive and others can be challenging to deal with.  Please report any supportive or challenging experiences.","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Practice Survey: CSAR Daily Diary Items","Question 1639","Did you have ANY SUPPORTIVE SOCIAL EXPERIENCES TODAY?","Multiple Choice","integer",NA,"1 - 2","Yes, No"
"Practice Survey: CSAR Daily Diary Items","Question 1640","How SUPPORTIVE was the MOST supportive experience you had today?","Slider","numeric",NA,"100 - 100","Very supportive"
"Practice Survey: CSAR Daily Diary Items","Question 1659","Who did you have this supportive experience with?<br><br>(Please select all that apply)",NA,NA,NA,"1 - 5","CSAR faculty/staff, Other CSAR friend, Non-CSAR recovery person, Family member, Other"
"Practice Survey: CSAR Daily Diary Items","Question 1642","Please enter the name of the person you had a supportive experience with:","Free Response","character",NA,"-1 - -1","%%"
"Practice Survey: CSAR Daily Diary Items","Question 1643","End block","End Block",NA,NA,"-1 - -1","No Response"
"Practice Survey: CSAR Daily Diary Items","Question 1644","Today, have you felt...","Informational Fullscreen",NA,NA,"-1 - -1","No Response"
"Practice Survey: CSAR Daily Diary Items","Question 1645","ANGRY?","Slider","numeric",NA,"100 - 100","Very"
"Practice Survey: CSAR Daily Diary Items","Question 1646","LONELY?","Slider","numeric",NA,"100 - 100","Very"
